filing_date,form,accession,primary_document,url
2015-01-22,4,0001408356-15-000004,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835615000004/xslF345X03/edgar.xml
2014-11-28,4,0001408356-14-000069,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835614000069/xslF345X03/edgar.xml
2014-07-17,4,0001408356-14-000017,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835614000017/xslF345X03/edgar.xml
2014-06-23,4,0001408356-14-000002,xslF345X03/edgar.xml,https://www.sec.gov/Archives/edgar/data/1494730/000140835614000002/xslF345X03/edgar.xml
2014-05-13,4,0001209191-14-033269,xslF345X03/doc4.xml,https://www.sec.gov/Archives/edgar/data/1494730/000120919114033269/xslF345X03/doc4.xml
2014-02-14,SC 13G/A,0001193125-14-054887,d675996dsc13ga.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312514054887/d675996dsc13ga.htm
2014-02-07,SC 13D/A,0001193125-14-040687,d671752dsc13da.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312514040687/d671752dsc13da.htm
2013-12-11,4,0001494730-13-000010,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473013000010/xslF345X03/edgardoc.xml
2013-11-15,4,0001288257-13-000047,xslF345X03/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000128825713000047/xslF345X03/primary_doc.xml
2013-11-12,4,0001494730-13-000008,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473013000008/xslF345X03/edgardoc.xml
2013-10-22,4,0001288257-13-000041,xslF345X03/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000128825713000041/xslF345X03/primary_doc.xml
2013-06-19,4,0001494730-13-000006,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473013000006/xslF345X03/edgardoc.xml
2013-05-31,4,0001494730-13-000004,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473013000004/xslF345X03/edgardoc.xml
2013-04-10,4,0001494730-13-000002,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473013000002/xslF345X03/edgardoc.xml
2013-02-14,SC 13G/A,0001193125-13-059336,d487044dsc13ga.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312513059336/d487044dsc13ga.htm
2012-12-28,4,0001288257-12-000028,xslF345X03/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000128825712000028/xslF345X03/primary_doc.xml
2012-12-21,SC 13D,0001193125-12-512480,d457434dsc13d.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312512512480/d457434dsc13d.htm
2012-12-19,4,0001181431-12-066021,xslF345X03/rrd364155.xml,https://www.sec.gov/Archives/edgar/data/1494730/000118143112066021/xslF345X03/rrd364155.xml
2012-12-12,3,0001181431-12-064161,xslF345X02/rrd362468.xml,https://www.sec.gov/Archives/edgar/data/1494730/000118143112064161/xslF345X02/rrd362468.xml
2012-10-05,4,0001494730-12-000005,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473012000005/xslF345X03/edgardoc.xml
2012-08-15,4,0001494730-12-000003,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473012000003/xslF345X03/edgardoc.xml
2012-03-22,4,0001494730-12-000001,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473012000001/xslF345X03/edgardoc.xml
2012-02-14,SC 13G/A,0001193125-12-060227,d301928dsc13ga.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312512060227/d301928dsc13ga.htm
2011-06-09,4,0001494730-11-000006,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473011000006/xslF345X03/edgardoc.xml
2011-02-23,4,0001494730-11-000004,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473011000004/xslF345X03/edgardoc.xml
2011-02-03,SC 13G,0001193125-11-023336,dsc13g.htm,https://www.sec.gov/Archives/edgar/data/1494730/000119312511023336/dsc13g.htm
2011-02-03,3/A,0001181431-11-007124,xslF345X02/rrd299711.xml,https://www.sec.gov/Archives/edgar/data/1494730/000118143111007124/xslF345X02/rrd299711.xml
2011-01-25,4,0001494730-11-000002,xslF345X03/edgardoc.xml,https://www.sec.gov/Archives/edgar/data/1494730/000149473011000002/xslF345X03/edgardoc.xml
2010-07-02,4,0001181431-10-035864,xslF345X03/rrd280655.xml,https://www.sec.gov/Archives/edgar/data/1494730/000118143110035864/xslF345X03/rrd280655.xml
2010-06-25,3,0001181431-10-034759,xslF345X02/rrd279907.xml,https://www.sec.gov/Archives/edgar/data/1494730/000118143110034759/xslF345X02/rrd279907.xml
